"NOME_MUNICIPIO";"RENDA";"EDUCACAO";"SOBREVIVENCIA";"INFRAESTRUTURA";"Acesso a informação";"HABITACAO";"MOBILIDADE";"MIQL-M";"MIQL-T"
"Cananéia";0.5189848316;0.6957549768;0.9340911923;0.7523727195;0.6412096817;0.904806239;0.886044;0.7266604;0.7475407861
"Canas";0.5078966232;0.6938533835;0.919949061;0.8052988574;0.6407231438;0.9189010907;0.868063;0.7318979201;0.749956946
"Cândido Mota";0.5301287045;0.7170701903;0.9348788071;0.8583629684;0.6826600313;0.9388495772;0.849652;0.7618362402;0.7738024879
"Cândido Rodrigues";0.5386469399;0.7398584254;0.9471584659;0.803677591;0.7292866816;0.9712355378;0.895232;0.7739211145;0.7901887173
"Canitar";0.5178563847;0.6929330794;0.92110937;0.806891463;0.6616400066;0.9314410737;0.884198;0.7401175152;0.7591650945
"Capão Bonito";0.5119903308;0.7104150154;0.9252926157;0.7681515577;0.6220242404;0.8966326551;0.847136;0.7241362591;0.7405485868
"Capela do Alto";0.5211171874;0.6832746175;0.9246425386;0.700092369;0.6294716735;0.9223737507;0.835338;0.715193959;0.7312365563
"Capivari";0.5441795345;0.7138675057;0.9417399615;0.8513578475;0.7197261553;0.9266297092;0.868079;0.7695663649;0.782923607
"Caraguatatuba";0.5378096303;0.7352367215;0.9382340307;0.8130703699;0.673946739;0.8895217592;0.848338;0.7519913969;0.7650543832
"Carapicuíba";0.52286388;0.726719288;0.942971627;0.884406604;0.713022074;0.903496032;0.67945;0.7673423938;0.7541223433
"Cardoso";0.527884444;0.6997188632;0.9091728485;0.7882790537;0.6378801503;0.941972155;0.850825;0.7360845019;0.7514761187
"Casa Branca";0.5353877944;0.7280050282;0.9276081358;0.7750555572;0.6679302679;0.6871624535;0.865263;0.7104744466;0.7307637349
"Cássia dos Coqueiros";0.5233185053;0.6993652238;0.9403561968;0.6604772149;0.6326947989;0.9159994019;0.882052;0.7133209322;0.7352883995
"Castilho";0.5180056485;0.7102640831;0.9271026582;0.7119777705;0.6542747038;0.9172059222;0.813927;0.7254307012;0.7374580015
"Catanduva";0.5528246288;0.7468143689;0.9422123665;0.9168552809;0.7067094514;0.9425017885;0.872381;0.7869771455;0.7986456516
"Catiguá";0.5418433554;0.6931413383;0.9408161432;0.8167066398;0.6570053274;0.9498038432;0.816496;0.7514698063;0.7604321463
"Cedral";0.5484902528;0.7265103093;0.9493042515;0.7490701469;0.7074933991;0.9421765175;0.878521;0.7574701908;0.7736840297
"Cerqueira César";0.5348281862;0.7139011155;0.9339534912;0.8184111354;0.6685034558;0.8805724417;0.833505;0.7455949863;0.7575617034
"Cerquilho";0.5546546915;0.7289230028;0.9342089648;0.884344391;0.7329112571;0.9527822556;0.889597;0.7845774275;0.7987847001
"Cesário Lange";0.5344127515;0.6798219172;0.9245087566;0.6748585923;0.6436279691;0.7247095403;0.879439;0.6876473578;0.7122437182
"Charqueada";0.5393290539;0.7019759646;0.9373220023;0.8493043862;0.6775366629;0.9421320612;0.801532;0.7597933187;0.765620201
