BA;Malhada de Pedras;8389;8942;8918
BA;Manoel Vitorino;13948;14600;14618
BA;Mansidão;12759;13598;13652
BA;Maracás;25024;24491;24156
BA;Maragogipe;43114;45740;45928
BA;Maraú;19212;21016;21098
BA;Marcionílio Souza;10447;11026;10962
BA;Mascote;14257;15221;15131
BA;Mata de São João;41527;44538;45194
BA;Matina;11342;12114;12217
BA;Medeiros Neto;21642;23358;23420
BA;Miguel Calmon;26188;27569;27627
BA;Milagres;10994;11569;11700
BA;Mirangaba;16606;17714;17881
BA;Mirante;9902;10270;10081
BA;Monte Santo;52023;54884;54807
BA;Morpará;8233;8987;8977
BA;Morro do Chapéu;35251;37326;36641
BA;Mortugaba;11729;12421;12450
BA;Mucugê;10145;10568;10400
BA;Mucuri;37229;39927;40514
BA;Mulungu do Morro;11743;12191;12398
BA;Mundo Novo;24867;26518;26935
BA;Muniz Ferreira;7374;7825;7860
BA;Muquém de São Francisco;10433;11465;11552
BA;Muritiba;28944;30635;30691
BA;Mutuípe;21608;22928;22742
BA;Nazaré;27454;29122;29297
BA;Nilo Peçanha;12729;13555;14119
BA;Nordestina;12458;13216;13270
BA;Nova Canaã;16070;17013;17048
BA;Nova Fátima;7630;8083;8105
BA;Nova Ibiá;6570;6913;7063
BA;Nova Itarana;7563;8058;8192
BA;Nova Redenção;8053;8527;9453
BA;Nova Soure;24265;25725;25813
BA;Nova Viçosa;39535;42265;42754
BA;Novo Horizonte;11001;11786;12085
BA;Novo Triunfo;15067;15943;15969
BA;Olindina;25100;26620;26722
BA;Oliveira dos Brejinhos;21813;22738;22756
BA;Ouriçangas;8316;8804;8822
BA;Ourolândia;16578;17603;17691
BA;Palmas de Monte Alto;20894;22260;22340
BA;Palmeiras;8545;9122;9066
BA;Paramirim;21226;21838;21961
BA;Paratinga;29853;32258;32452
BA;Paripiranga;27958;29654;29769
BA;Pau Brasil;10479;11166;11031
BA;Paulo Afonso;110193;117377;118323
BA;Pé de Serra;13707;14478;14474
BA;Pedrão;6993;7450;7511
BA;Pedro Alexandre;17045;18051;18094
BA;Piatã;17257;18421;18584
BA;Pilão Arcado;33176;35237;35255
BA;Pindaí;15695;16708;16758
BA;Pindobaçu;20009;21113;21087
BA;Pintadas;10250;10798;10769
BA;Piraí do Norte;9833;10415;9777
BA;Piripá;12219;12678;12452
BA;Piritiba;22907;24462;24785
BA;Planaltino;8944;9516;9413
BA;Planalto;24627;26225;26436
BA;Poções;45903;48576;48655
BA;Pojuca;34106;36551;37061
BA;Ponto Novo;15524;16321;16242
BA;Porto Seguro;131642;141006;143282
BA;Potiraguá;9360;9574;9263
BA;Prado;27693;29095;29158
BA;Presidente Dutra;13807;14629;14672
BA;Presidente Jânio Quadros;12854;13442;13307
BA;Presidente Tancredo Neves;24517;26238;27187
BA;Queimadas;24602;26023;26054
BA;Quijingue;27357;28996;29088
BA;Quixabeira;9514;10045;10038
BA;Rafael Jambeiro;22916;24258;24305
BA;Remanso;39365;41824;42056
BA;Retirolândia;12281;13092;13209
BA;Riachão das Neves;21941;23209;23237
BA;Riachão do Jacuípe;33271;35237;35322
BA;Riacho de Santana;31027;35586;35819
BA;Ribeira do Amparo;14333;15186;15229
BA;Ribeira do Pombal;47877;50805;51026
BA;Ribeirão do Largo;10432;9195;8713
BA;Rio de Contas;12891;13592;13653
BA;Rio do Antônio;15015;15427;15530
BA;Rio do Pires;11948;12033;12060
BA;Rio Real;37754;40203;40515
BA;Rodelas;8045;8632;8763
BA;Ruy Barbosa;30010;31799;31780
BA;Salinas da Margarida;13921;14937;15171
BA;Salvador;2710968;2883682;2902927
BA;Santa Bárbara;19292;20509;20635
BA;Santa Brígida;14698;15381;15237
BA;Santa Cruz Cabrália;26623;27854;28045
BA;Santa Cruz da Vitória;6481;6808;6778
BA;Santa Inês;10312;10884;11186
BA;Santa Luzia;13025;13710;13579
BA;Santa Maria da Vitória;40165;41824;41809
BA;Santa Rita de Cássia;26653;28349;28642
BA;Santa Teresinha;9792;10423;10514
BA;Santaluz;34274;36452;36690
BA;Santana;24987;26998;27132
BA;Santanópolis;8835;9370;9407
BA;Santo Amaro;57978;61407;61559
BA;Santo Antônio de Jesus;93077;99407;100550
BA;Santo Estêvão;48897;52186;52704
BA;São Desidério;28921;31785;32078
BA;São Domingos;9266;9820;9849
BA;São Felipe;20329;21513;21548
BA;São Félix;14159;15004;15049
BA;São Félix do Coribe;13243;15443;15548
BA;São Francisco do Conde;34226;36677;38838
BA;São Gabriel;18430;19495;19519
BA;São Gonçalo dos Campos;34232;36641;37111
BA;São José da Vitória;5609;6202;6158
BA;São José do Jacuípe;10293;10938;11002
BA;São Miguel das Matas;10474;11105;11963
BA;São Sebastião do Passé;42485;45090;45292
BA;Sapeaçu;16619;17594;17630
BA;Sátiro Dias;19054;20195;20259
BA;Saubara;11354;12078;12161
BA;Saúde;11921;12644;12693
